grupo,municipio,anio,poblacion,pct_poblacion,num_restaurantes,pct_restaurantes,rest_por_1000hab,densidad_pob_norm,densidad_rest_norm,potencial,categoria_potencial,lat,lon
rincondelavictoria,Rincón de la Victoria,2023,51300,4.58,29,3.56,0.5653,0.0863,0.0103,0.6283,Alto Potencial,36.71537656190476,-4.285169623809524
alhaurindelatorre,Alhaurín de la Torre,2023,43674,3.9,25,3.07,0.5724,0.0733,0.0108,0.6228,Alto Potencial,36.66159815882353,-4.563490805882353
cartama,Cártama,2023,28412,2.54,12,1.47,0.4224,0.0472,0.0,0.6189,Alto Potencial,36.715926725,-4.643440699999999
alhaurinelgrande,Alhaurín el Grande,2023,26879,2.4,13,1.6,0.4836,0.0446,0.0044,0.6152,Alto Potencial,36.64113746,-4.69016692
mijas,Mijas,2023,91691,8.18,146,17.91,1.5923,0.1553,0.084,0.6117,Alto Potencial,36.52739148188406,-4.67436031231884
coin,Coín,2023,25023,2.23,17,2.09,0.6794,0.0414,0.0185,0.6055,Alto Potencial,36.66749893333333,-4.751862755555555
fuengirola,Fuengirola,2023,85598,7.64,151,18.53,1.7641,0.1449,0.0964,0.6001,Alto Potencial,36.54584893916084,-4.6180587118881125
pizarra,Pizarra,2023,9886,0.88,8,0.98,0.8092,0.0156,0.0278,0.5896,Alto Potencial,36.77,-4.705
alora,Álora,2023,13512,1.21,12,1.47,0.8881,0.0218,0.0335,0.5886,Alto Potencial,36.8447911,-4.7291261250000005
benalmadena,Benalmádena,2023,75801,6.76,182,22.33,2.401,0.1281,0.1421,0.566,Alto Potencial,36.59611980344828,-4.537309602873563
torremolinos,Torremolinos,2023,70434,6.28,169,20.74,2.3994,0.119,0.142,0.5624,Alto Potencial,36.62482893726708,-4.496966680124224
casabermeja,Casabermeja,2023,3910,0.35,8,0.98,2.046,0.0054,0.1166,0.5322,Alto Potencial,36.858,-4.425
almogia,Almogía,2023,3967,0.35,12,1.47,3.025,0.0055,0.187,0.49,Potencial Medio,36.765432625,-4.605386475
colmenar,Colmenar,2023,3494,0.31,20,2.45,5.7241,0.0047,0.3809,0.3733,Potencial Medio,36.89735661666666,-4.343664341666667
totalan,Totalán,2023,767,0.07,11,1.35,14.3416,0.0,1.0,0.0,Potencial Bajo,36.75237056666667,-4.317506633333333
