Codigo_Postal;Cantidad_Restaurantes;Municipio
29620;161;Torremolinos
29640;143;Fuengirola
29015;102;Málaga
29631;85;Benalmádena
29630;67;Benalmádena
29650;64;Mijas
29008;60;Málaga
29016;52;Málaga
29649;50;Mijas
29005;48;Málaga
29260;47;Sin clasificar / Vacío
29012;45;Málaga
29017;41;Málaga
29004;37;Málaga
29013;37;Málaga
29002;36;Málaga
29001;30;Málaga
29014;28;Málaga
Vacío/Desconocido;26;Sin clasificar / Vacío
29651;24;Mijas
29639;22;Benalmádena
29010;18;Málaga
29130;17;Alhaurín de la Torre
29006;17;Málaga
29720;16;Sin clasificar / Vacío
29003;14;Málaga
29140;13;Sin clasificar / Vacío
29170;12;Colmenar
29009;12;Málaga
29738;11;Rincón de la Victoria
29730;10;Rincón de la Victoria
29100;9;Coín
29510;7;Sin clasificar / Vacío
29007;7;Málaga
29590;6;Sin clasificar / Vacío
29591;5;Sin clasificar / Vacío
29120;5;Alhaurín el Grande
29018;5;Málaga
29150;4;Almogía
29500;4;Álora
29190;3;Sin clasificar / Vacío
29197;3;Totalán
29071;3;Sin clasificar / Vacío
29647;3;Sin clasificar / Vacío
29602;3;Sin clasificar / Vacío
29552;2;Sin clasificar / Vacío
29580;2;Cártama
29570;2;Cártama
29080;2;Sin clasificar / Vacío
29680;1;Sin clasificar / Vacío
29788;1;Sin clasificar / Vacío
29360;1;Sin clasificar / Vacío
29011;1;Málaga
29593;1;Sin clasificar / Vacío
29740;1;Sin clasificar / Vacío
29692;1;Sin clasificar / Vacío
20630;1;Sin clasificar / Vacío
29569;1;Sin clasificar / Vacío
29040;1;Sin clasificar / Vacío
29648;1;Sin clasificar / Vacío
29400;1;Sin clasificar / Vacío
29691;1;Sin clasificar / Vacío
29793;1;Sin clasificar / Vacío
29191;1;Sin clasificar / Vacío
